LocationID,LocationName,Data_Value
37045,Cleveland,26.2
37023,Burke,26.7
37001,Alamance,23.7
37013,Beaufort,26
37027,Caldwell,25.5
37007,Anson,31.7
37021,Buncombe,19.2
37035,Catawba,23.2
37017,Bladen,29.1
37053,Currituck,20.4
37057,Davidson,25.1
37003,Alexander,24.7
37049,Craven,23.6
37011,Avery,23.8
37009,Ashe,23.8
37005,Alleghany,26.8
37031,Carteret,19.9
37015,Bertie,31.8
37041,Chowan,27.7
37051,Cumberland,25.9
37037,Chatham,20.4
37039,Cherokee,23.9
37019,Brunswick,19.9
37043,Clay,22.2
37029,Camden,20.1
37025,Cabarrus,21.3
37055,Dare,18.4
37047,Columbus,29.5
37033,Caswell,26.9
37083,Halifax,33.1
37143,Perquimans,24.6
37191,Wayne,27.6
37139,Pasquotank,24.4
37087,Haywood,21.8
37161,Rutherford,26.8
37069,Franklin,24
37153,Richmond,30.9
37065,Edgecombe,31.7
37149,Polk,21.8
37131,Northampton,30.2
37079,Greene,31.6
37199,Yancey,24
37195,Wilson,30.6
37109,Lincoln,21.5
37147,Pitt,25.9
37093,Hoke,28.1
37187,Washington,32
37101,Johnston,23.1
37155,Robeson,34.9
37127,Nash,27.5
37085,Harnett,25.7
37089,Henderson,21
37141,Pender,21
37137,Pamlico,23.5
37061,Duplin,28.5
37095,Hyde,29.4
37169,Stoke,24.1
37123,Montgomery,27.3
37179,Union,21.1
37107,Lenoir,32.3
37091,Hertford,31.6
37121,Mitchell,22.7
37157,Rockingham,26.8
37189,Watauga,23
37105,Lee,26.5
37075,Graham,23.6
37175,Transylvania,19.7
37173,Swain,26.5
37059,Davie,21.8
37159,Rowan,26.4
37125,Moore,19.2
37073,Gates,26.7
37129,New Hanover,20.3
37167,Stanly,24.2
37111,McDowell,24.6
37115,Madison,21.6
37077,Granville,25.4
37181,Vance,30
37185,Warren,31
37193,Wilkes,25.9
37171,Surry,27.1
37163,Sampson,29.4
37133,Onslow,22.9
37063,Durham,21.7
37117,Martin,28.6
37177,Tyrrell,29.5
37151,Randolph,26.5
37071,Gaston,24.4
37165,Scotland,32.7
37099,Jackson,24.2
37145,Person,26.5
37103,Jones,28.6
37197,Yadkin,25.3
37081,Guilford,23.5
37119,Mecklenburg,21.1
37135,Orange,18.4
37097,Iredell,20.7
37067,Forsyth,24.5
37183,Wake,17.9
37113,Macon,24.3
